user_id,utc_date,model,wallet_type,cost,currency
,2026-05-06,deepseek-v4-flash,Paid,0.133937,CNY
,2026-05-07,deepseek-v4-flash,Paid,1.723646,CNY
,2026-05-07,deepseek-v4-pro,Paid,2.226257,CNY
,2026-05-08,deepseek-v4-flash,Paid,1.519941,CNY
,2026-05-08,deepseek-v4-pro,Paid,4.236783,CNY
,2026-05-09,deepseek-v4-flash,Paid,2.956703,CNY
,2026-05-09,deepseek-v4-pro,Paid,6.46397,CNY
,2026-05-10,deepseek-v4-flash,Paid,0.284564,CNY
,2026-05-10,deepseek-v4-pro,Paid,1.604031,CNY
,2026-05-11,deepseek-v4-flash,Paid,4.021567,CNY
,2026-05-11,deepseek-v4-pro,Paid,12.526776,CNY
,2026-05-12,deepseek-v4-flash,Paid,2.097789,CNY
,2026-05-12,deepseek-v4-pro,Paid,8.817246,CNY
,2026-05-13,deepseek-v4-flash,Paid,1.76826,CNY
,2026-05-13,deepseek-v4-pro,Paid,12.541043,CNY
,2026-05-14,deepseek-v4-flash,Paid,1.996139,CNY
,2026-05-14,deepseek-v4-pro,Paid,21.228876,CNY
,2026-05-15,deepseek-v4-flash,Paid,0.204628,CNY
,2026-05-15,deepseek-v4-pro,Paid,8.001784,CNY
,2026-05-16,deepseek-v4-flash,Paid,0.453936,CNY
,2026-05-16,deepseek-v4-pro,Paid,0.784248,CNY
,2026-05-17,deepseek-v4-flash,Paid,0.238101,CNY
,2026-05-17,deepseek-v4-pro,Paid,9.896045,CNY
,2026-05-18,deepseek-v4-flash,Paid,0.484507,CNY
,2026-05-18,deepseek-v4-pro,Paid,7.089865,CNY
,2026-05-19,deepseek-v4-flash,Paid,1.991887,CNY
,2026-05-19,deepseek-v4-pro,Paid,26.102108,CNY
,2026-05-20,deepseek-v4-flash,Paid,0.48573,CNY
,2026-05-20,deepseek-v4-pro,Paid,14.367052,CNY
,2026-05-21,deepseek-v4-flash,Paid,2.439631,CNY
,2026-05-21,deepseek-v4-pro,Paid,24.681461,CNY
,2026-05-22,deepseek-v4-flash,Paid,0.674772,CNY
,2026-05-22,deepseek-v4-pro,Paid,14.16335,CNY
,2026-05-23,deepseek-v4-flash,Paid,0.031821,CNY
,2026-05-23,deepseek-v4-pro,Paid,1.627687,CNY
,2026-05-24,deepseek-v4-flash,Paid,0.266822,CNY
,2026-05-24,deepseek-v4-pro,Paid,1.791087,CNY
,2026-05-25,deepseek-v4-flash,Paid,2.658334,CNY
,2026-05-25,deepseek-v4-pro,Paid,16.768343,CNY
,2026-05-26,deepseek-v4-flash,Paid,1.256232,CNY
,2026-05-26,deepseek-v4-pro,Paid,17.584131,CNY
,2026-05-27,deepseek-v4-flash,Paid,1.563791,CNY
,2026-05-27,deepseek-v4-pro,Paid,10.761314,CNY
,2026-05-28,deepseek-v4-flash,Paid,0.612096,CNY
,2026-05-28,deepseek-v4-pro,Paid,10.816859,CNY
,2026-05-29,deepseek-v4-flash,Paid,0.658451,CNY
,2026-05-29,deepseek-v4-pro,Paid,4.207338,CNY
,2026-05-30,deepseek-v4-flash,Paid,0.740735,CNY
,2026-05-30,deepseek-v4-pro,Paid,4.334488,CNY
